ML#,City,State,Zip 4,Zip Code,List Price,Original List Price,Close Price,Advertised Subdivision,Legal Subdivision,Status,Close Date,DOMM,DOMP,Baths All,Baths Half,Baths Full,Bedrooms,Condo Coop Fee,Cooling,Dining Kitchen,Farm,Fireplaces,Heating,HOA,HOA Fee,Lot Sqft,Total Square Footage,Townhouse Type,Type,Parking
MC8409362,POOLESVILLE,MD,2034,20837,407000,407000,407000,WESTERLY,WESTERLY,SOLD,7/19/2014,0,0,3,1,2,4,,Geothermal Heat Pump,"Sep Dining Rm, Eat-In Kitchen",FALSE,1,Heat Pump(s),FALSE,,15728,0,,Detached,Garage
MC8435021,GERMANTOWN,MD,2177,20874,406888,406888,408000,FOUNTAIN HILLS,FOUNTAIN HILLS,SOLD,9/19/2014,8,8,4,1,3,3,,Central Air Conditioning,"Fam Rm Off Kit, Breakfast Room, Sep Dining Rm",FALSE,1,Forced Air,TRUE,83.5,2200,2400,End,Townhouse,Garage
MC8485107,GAITHERSBURG,MD,,20877,405665,405665,389900,SUMMIT CROSSING,,SOLD,10/20/2014,0,0,3,1,2,3,190,"Central Air Conditioning, ENERGY STAR Cooling System","Kit-Breakfast Bar, Kit-Table Space, Kit-Island",FALSE,0,"ENERGY STAR Heating System, Forced Air",FALSE,,,2516,End,Townhouse,Garage
MC8323347,ROCKVILLE,MD,,20850,405000,405000,405000,KING FARM VILLAGE CENTER,KING FARM VILLAGE CENTER,SOLD,6/20/2014,5,5,2,0,2,2,600.51,Central Air Conditioning,Kit-Family Combo,FALSE,0,Central,TRUE,0,,1570,,Garden 1-4 Floors,Garage
MC8352508,NORTH POTOMAC,MD,4379,20878,405000,405000,405000,STONEBRIDGE,STONEBRIDGE,SOLD,7/2/2014,2,2,4,1,3,2,,Heat Pump(s),"Kit-Table Space, Eat-In Kitchen, Sep Dining Rm",FALSE,1,Heat Pump(s),TRUE,954,1500,1500,Interior,Townhouse,Assigned
MC8380609,OLNEY,MD,1672,20832,402500,394900,402500,HALLOWELL,HALLOWELL,SOLD,8/7/2014,3,3,3,1,2,3,,"Ceiling Fan(s), Central Air Conditioning, Zoned","Kit-Table Space, Sep Dining Rm",FALSE,2,"Forced Air, Zoned",TRUE,90,1700,0,Interior,Townhouse,Assigned
MC8223815,CLARKSBURG,MD,,20871,401500,401500,399891,CABIN BRANCH,,SOLD,8/14/2014,221,221,4,1,3,4,,"Central Air Conditioning, ENERGY STAR Cooling System","Gourmet, Kit-Island, Sep Dining Rm",FALSE,0,"Central, Forced Air, Programmable Thermostat",TRUE,60,2178,0,Interior,Townhouse,Garage
MC8169597,SILVER SPRING,MD,1653,20910,400000,400000,375000,SOUTH WOODSIDE PARK,SOUTH WOODSIDE PARK,SOLD,6/30/2014,152,152,2,0,2,5,,Wall Unit,"Sep Dining Rm, Eat-In Kitchen",FALSE,1,Radiator,FALSE,0,8270,2128,,Detached,Other
MC8256876,SILVER SPRING,MD,6235,20904,400000,485000,405000,COLESVILLE FARM ESTS,COLESVILLE FARM ESTS,SOLD,8/26/2014,163,256,3,1,2,3,,Central Air Conditioning,"Fam Rm Off Kit, Kit-Breakfast Bar, Kit-Island, Liv-Din Combo, Sep Dining Rm, Eat-In Kitchen",FALSE,3,"Forced Air, Humidifier",FALSE,,22500,2750,,Detached,"Drvwy/Off Str, Carport"
MC8266041,GAITHERSBURG,MD,4556,20879,400000,420000,380000,HADLEY FARMS,HADLEY FARMS,SOLD,6/25/2014,93,93,3,1,2,4,,Central Air Conditioning,"Kit-Island, Sep Dining Rm",FALSE,1,Heat Pump(s),TRUE,46,8816,0,,Detached,Garage
MC8305465,BROOKEVILLE,MD,2827,20833,400000,459900,405000,BROOKVILLE KNOLLS,BROOKVILLE KNOLLS,SOLD,8/29/2014,106,106,3,1,2,4,,Central Air Conditioning,"Fam Rm Off Kit, Kit-Table Space, Sep Dining Rm, Eat-In Kitchen",FALSE,1,Forced Air,TRUE,365,10416,2031,,Detached,"Garage, Paved Driveway"
MC8332060,SILVER SPRING,MD,4316,20905,400000,400000,400000,PEACH ORCHARD HEIGHTS,PEACH ORCHARD HEIGHTS,SOLD,7/14/2014,15,15,2,0,2,3,,"Central Air Conditioning, Ceiling Fan(s)","Gourmet, Kit-Breakfast Bar, Sep Dining Rm",FALSE,1,Baseboard,FALSE,,24210,0,,Detached,"Drvwy/Off Str, Carport"
MC8317891,SILVER SPRING,MD,1801,20903,400000,415000,390000,OAKVIEW,OAKVIEW,SOLD,8/29/2014,84,84,3,1,2,4,,Central Air Conditioning,"Kit-Island, Kit-Breakfast Bar, Eat-In Kitchen, Sep Dining Rm",FALSE,0,Forced Air,FALSE,,6554,0,,Detached,Shared Driveway
MC8324718,GERMANTOWN,MD,1032,20874,400000,400000,390000,CHURCHILL TOWN SECTOR,CHURCHILL TOWN SECTOR,SOLD,6/6/2014,5,5,3,0,3,4,,Central Air Conditioning,"Kit-Island, Sep Dining Rm",FALSE,1,Forced Air,TRUE,89,9814,1994,,Detached,"Drvwy/Off Str, Garage"
MC8337233,GAITHERSBURG,MD,2031,20877,400000,415000,395000,GAITHERSBURG TOWN,GAITHERSBURG TOWN,SOLD,8/15/2014,72,72,3,0,3,4,,Central Air Conditioning,"Kit-Dining Combo, Galley Kitchen",FALSE,2,Heat Pump(s),FALSE,,19275,0,,Detached,"Garage, Paved Driveway"
MC8339487,KENSINGTON,MD,2320,20895,400000,449000,410000,KENSINGTON HEIGHTS,KENSINGTON HEIGHTS,SOLD,10/3/2014,126,126,3,0,3,4,,Central Air Conditioning,Sep Dining Rm,FALSE,1,Forced Air,FALSE,,8334,0,,Detached,"Paved Driveway, Street"
MC8341873,GAITHERSBURG,MD,4577,20879,400000,389900,400000,HADLEY FARMS,HADLEY FARMS,SOLD,6/27/2014,5,5,4,2,2,3,,"Ceiling Fan(s), Central Air Conditioning","Fam Rm Off Kit, Gourmet, Sep Dining Rm",FALSE,1,Heat Pump(s),TRUE,46.88,6935,0,,Detached,"Drvwy/Off Str, Garage"
MC8342815,GERMANTOWN,MD,1868,20874,400000,400000,385000,FOUNTAIN HILLS,FOUNTAIN HILLS,SOLD,6/18/2014,14,14,4,1,3,3,,Central Air Conditioning,"Kit-Island, Breakfast Room, Kit-Living Combo",FALSE,1,Forced Air,TRUE,79.5,1847,2424,End,Townhouse,Assigned
MC8358418,SILVER SPRING,MD,3971,20902,400000,420000,410000,FOREST ESTATES,FOREST ESTATES,SOLD,7/11/2014,24,24,2,0,2,4,,Central Air Conditioning,Kit-Dining Combo,FALSE,0,"Central, Forced Air",FALSE,,5552,1736,,Detached,"Drvwy/Off Str, Paved Driveway, Street, Concrete Driveway"
MC8374869,ROCKVILLE,MD,6669,20850,400000,415000,395000,KING FARM FOUR CODM,KING FARM FOUR CODM,SOLD,8/15/2014,21,21,2,0,2,2,405,Central Air Conditioning,"Gourmet, Kit-Breakfast Bar, Sep Dining Rm",FALSE,1,"Forced Air, 90% Forced Air, Hot Water",FALSE,,,1436,,Garden 1-4 Floors,Garage
MC8382781,SILVER SPRING,MD,3904,20902,400000,410000,385000,FOREST ESTATES,FOREST ESTATES,SOLD,8/18/2014,30,60,1,0,1,3,,"Ceiling Fan(s), Central Air Conditioning",Sep Dining Rm,FALSE,0,Forced Air,FALSE,,6120,0,,Detached,Drvwy/Off Str
MC8394989,GAITHERSBURG,MD,6522,20878,400000,400000,387500,KENTLANDS II CODM,KENTLANDS II CODM,SOLD,9/8/2014,13,13,3,1,2,2,218,"Central Air Conditioning, Ceiling Fan(s)","Kit-Living Combo, Kit-Dining Combo",FALSE,1,Forced Air,TRUE,83.06,,1838,Lower,Townhouse,Garage
MC8399949,GAITHERSBURG,MD,1622,20882,400000,400000,380000,LAYTONSVILLE TOWN,LAYTONSVILLE TOWN,SOLD,8/29/2014,6,6,2,0,2,3,,"Central Air Conditioning, Ceiling Fan(s), Heat Pump(s)","Kit-Country, Sep Dining Rm",FALSE,2,"Forced Air, Zoned",FALSE,,21780,0,,Detached,"Drvwy/Off Str, Garage"
MC8421609,SILVER SPRING,MD,2038,20904,400000,400000,385000,EAST SPRINGBROOK,EAST SPRINGBROOK,SOLD,9/22/2014,7,43,3,0,3,4,,Central Air Conditioning,Kit-Breakfast Bar,FALSE,1,Forced Air,FALSE,,17513,0,,Detached,"Paved Driveway, Street"
MC8432708,SILVER SPRING,MD,3734,20902,400000,400000,394000,CHESTNUT RIDGE MANOR,CHESTNUT RIDGE MANOR,SOLD,9/23/2014,15,15,2,0,2,4,,Central Air Conditioning,Eat-In Kitchen,FALSE,1,Forced Air,FALSE,,5200,0,,Detached,Drvwy/Off Str
MC8439110,GAITHERSBURG,MD,4920,20886,400000,425000,385000,GABLE FIELD M V,GABLE FIELD M V,SOLD,10/10/2014,23,23,4,1,3,4,,Central Air Conditioning,"Eat-In Kitchen, Sep Dining Rm",FALSE,1,Forced Air,TRUE,285.77,4400,0,,Detached,"Garage, Paved Driveway"
MC8482704,SILVER SPRING,MD,3112,20906,400000,400000,388000,STRATHMORE AT BEL PRE,STRATHMORE AT BEL PRE,SOLD,10/8/2014,0,0,2,0,2,4,,Central Air Conditioning,"Kit-Table Space, Eat-In Kitchen, Dining ""L""",FALSE,1,Forced Air,TRUE,225,15005,0,,Detached,Garage
MC8297900,BURTONSVILLE,MD,1165,20866,399999,399999,375000,VALLEY STREAM ESTATES,VALLEY STREAM ESTATES,SOLD,6/6/2014,42,42,4,1,3,3,,"Central Air Conditioning, Ceiling Fan(s)","Kit-Family Combo, Breakfast nook",FALSE,1,"Central, Forced Air",TRUE,34,5940,0,,Detached,"Garage, Garage Door Opener"
MC8345045,ROCKVILLE,MD,1317,20851,399999,399999,423500,SILVER ROCK,SILVER ROCK,SOLD,6/6/2014,3,3,2,0,2,4,,Central Air Conditioning,"Sep Dining Rm, Breakfast nook",FALSE,1,Forced Air,FALSE,,6572,0,,Detached,Drvwy/Off Str
